Internship ID,Title,Organization,Skills Required,Sector,Location (State),Stipend (₹/Month),Duration (Months),Eligibility,Application Deadline
57,Research Intern (Public Policy),NGO Help India,"Financial Modelling, Excel",Content,Uttar Pradesh,12576,3,M.Sc.,21-10-2025
58,Digital Marketing Intern,Ministry of IT,"SEO, Content Strategy",Quality Assurance,Maharashtra,8846,6,B.Tech,09-10-2025
59,Web Development Intern,NITI Aayog,Community Engagement,Social Sector,Uttar Pradesh,7622,6,BA,19-10-2025
60,Financial Analyst Intern,Ministry of Culture,"Manual Testing, Automation Tools",Events,Uttar Pradesh,9463,6,Any Graduate,05-10-2025
61,Social Work Intern,Ministry of Culture,"SEO, Content Strategy",Administration,Bihar,6490,3,M.Sc.,08-10-2025
62,Social Work Intern,Ministry of Finance,"SEO, Content Strategy",Policy,Karnataka,6752,6,M.Sc.,03-10-2025
63,Research Intern (Public Policy),NGO Green Earth,"Data Analysis, Report Writing",IT,Bihar,12252,3,B.Tech,25-09-2025
64,Digital Marketing Intern,Ministry of Education,"Event Planning, Coordination",Marketing,Bihar,11816,6,BBA,06-10-2025
65,Event Management Intern,Ministry of Finance,"Creative Writing, Research",Finance,Maharashtra,14739,6,M.Sc.,06-11-2025
66,Content Writing Intern,Ministry of Finance,"SEO, Content Strategy",Finance,West Bengal,9609,3,Any Graduate,04-11-2025
67,Financial Analyst Intern,Ministry of Culture,"Creative Writing, Research",Design,Rajasthan,7850,3,BA,17-10-2025
68,Social Work Intern,Ministry of Health,"Creative Writing, Research",Content,West Bengal,9766,6,BA,05-10-2025
69,Graphic Design Intern,Ministry of IT,"Manual Testing, Automation Tools",Marketing,Maharashtra,7540,6,M.Sc.,29-09-2025
70,Financial Analyst Intern,NITI Aayog,"Photoshop, Illustrator",Events,Bihar,8317,3,B.Tech,27-09-2025
71,Social Work Intern,Ministry of IT,"Data Analysis, Report Writing",Content,Tamil Nadu,7193,6,BA,11-10-2025
72,Content Writing Intern,Ministry of Culture,"Photoshop, Illustrator",Quality Assurance,Rajasthan,9040,6,BA,29-10-2025
73,Financial Analyst Intern,Ministry of Finance,"Creative Writing, Research",Content,Delhi,7351,3,BBA,10-10-2025
74,Social Work Intern,Ministry of Culture,Community Engagement,Finance,Tamil Nadu,6879,6,BA,14-10-2025
75,Event Management Intern,Ministry of Culture,"Photoshop, Illustrator",Administration,Karnataka,9786,3,M.Sc.,12-10-2025
76,Event Management Intern,NITI Aayog,"Photoshop, Illustrator",Events,Tamil Nadu,14797,3,BA,21-10-2025
77,Research Intern (Public Policy),NGO Green Earth,"Financial Modelling, Excel",Marketing,West Bengal,14548,6,M.A.,19-10-2025
78,Web Development Intern,NITI Aayog,"Photoshop, Illustrator",Marketing,Delhi,8925,3,BA,04-11-2025
79,Digital Marketing Intern,NGO Help India,"HTML, CSS, JS",IT,Delhi,13859,6,Any Graduate,29-09-2025
80,Financial Analyst Intern,NITI Aayog,Community Engagement,Social Sector,Tamil Nadu,12868,6,BBA,05-10-2025
81,Software Testing Intern,Ministry of Education,"Photoshop, Illustrator",Marketing,Uttar Pradesh,10330,6,M.A.,10-10-2025
82,Social Work Intern,NGO Help India,"MS Excel, Typing",Quality Assurance,Delhi,7987,3,BBA,04-11-2025
83,Web Development Intern,NITI Aayog,"SEO, Content Strategy",IT,Bihar,5021,6,BBA,06-11-2025
84,Social Work Intern,NGO Help India,"Event Planning, Coordination",Policy,Tamil Nadu,5330,3,BA,08-10-2025
85,Research Intern (Public Policy),NGO Green Earth,"Photoshop, Illustrator",Marketing,Delhi,14652,6,Any Graduate,25-09-2025
86,Web Development Intern,NGO Green Earth,"Event Planning, Coordination",IT,Bihar,7212,3,M.Sc.,21-10-2025
87,Digital Marketing Intern,Ministry of IT,"Photoshop, Illustrator",Quality Assurance,Uttar Pradesh,7283,6,BBA,05-10-2025
88,Content Writing Intern,NGO Help India,"Creative Writing, Research",IT,Karnataka,7624,6,M.Sc.,21-10-2025
89,Graphic Design Intern,NGO Green Earth,"HTML, CSS, JS",Policy,Uttar Pradesh,12653,3,M.A.,25-09-2025
90,Digital Marketing Intern,Ministry of IT,"HTML, CSS, JS",Policy,Rajasthan,8702,6,M.A.,09-10-2025
91,Graphic Design Intern,NITI Aayog,"Manual Testing, Automation Tools",Design,Rajasthan,11143,6,BBA,11-10-2025
92,Software Testing Intern,Ministry of Health,"HTML, CSS, JS",Design,Maharashtra,10734,3,M.A.,04-11-2025
93,Content Writing Intern,Ministry of Education,"Event Planning, Coordination",Social Sector,Uttar Pradesh,11495,6,Any Graduate,11-10-2025
94,Data Entry Intern,Ministry of Culture,"Manual Testing, Automation Tools",Events,Uttar Pradesh,13100,3,M.Sc.,20-10-2025
95,Financial Analyst Intern,Ministry of Finance,"MS Excel, Typing",Finance,Maharashtra,12859,3,M.Sc.,25-09-2025
96,Software Testing Intern,Ministry of IT,"Photoshop, Illustrator",Events,West Bengal,7090,6,M.A.,03-10-2025
97,Graphic Design Intern,Ministry of Education,"Manual Testing, Automation Tools",Quality Assurance,Rajasthan,10758,6,M.A.,25-10-2025
98,Graphic Design Intern,Ministry of Culture,"HTML, CSS, JS",Content,Tamil Nadu,14472,3,B.Tech,30-10-2025
99,Social Work Intern,Ministry of Culture,"Financial Modelling, Excel",Events,West Bengal,12572,6,M.A.,08-10-2025
100,Research Intern (Public Policy),Ministry of Health,"Financial Modelling, Excel",Quality Assurance,Uttar Pradesh,8832,3,M.A.,05-10-2025
